"","Tweets","Language","Follower","favourites_count","friends_count","statuses_count","time_zone","id_str","location","coordinates","retweet_count","id_str_tweet","in_reply_to_status_id_str","Weekday","Month","DayOfMonth","Hour","Min","Sec","Timezone","Year"
"1","@carolinecbaker Looking for a better job? If so you can be your own boss and work from home making 4k a month moneyjournalonline .com","en","0","0","0","142",NA,"448650937","",NA,"0","154507006705803264","154506725641293824","Wed","Jan","04","10","18","35","+0000","2012"
"2","Bank deposits with ECB hit record: Commercial banks' overnight deposits at the European Central Bank hit a new r... http://t.co/kEAI74iI","en","16086","51","815","12110","Dublin","16737418","Dublin, Ireland",NA,"0","154507388421029889",NA,"Wed","Jan","04","10","20","06","+0000","2012"
"3","RT @lindayeecbs5: Thermal imaging  spots burglary suspect hiding in thick brush on a dangerous cliff on Telegraph Hill.  CBS5 at  11pm","en","221","2","363","313","London","98681848","",NA,"0","154512308343816192",NA,"Wed","Jan","04","10","39","39","+0000","2012"
"4","Watching #thenflhonorsawards and couldn't stop laughing at @alecbaldwin, how is it possible I wasn't following him on Twitter? Rectified!","en","671","8","598","4567",NA,"210866328","Utah",NA,"0","166028285875208193",NA,"Sun","Feb","05","05","20","02","+0000","2012"
"5","@alecbyrnez omg ew.","en","92","120","70","837",NA,"312959257","K-Town",NA,"0","166029896466968576","166015777084932098","Sun","Feb","05","05","26","26","+0000","2012"
"6","laper, mau makan tapi ada nya secba ,muntah duluan nyium baunya!!","en","329","36","414","5551","Pacific Time (US & Canada)","357293198","ÜT: -6.4991301,106.8375273",NA,"0","166157030007111681",NA,"Sun","Feb","05","13","51","37","+0000","2012"
"7","Pick Up Women Halloween http://t.co/NqvMecbl","en","21","0","0","3972",NA,"318618545",NA,NA,"0","166158737097240576",NA,"Sun","Feb","05","13","58","24","+0000","2012"
"8","@becburnage @crumpet09 @darciechambers it's a compliment...take it","en","290","3","390","3351",NA,"233284604","Harlow Essex",NA,"0","166284020957724672","166283107727712257","Sun","Feb","05","22","16","14","+0000","2012"
"9","RT @alecbaldwin: Lenny Kravitz, so great at the NFL tailgate party....","en","33","0","23","52",NA,"461738617","Parts Unknown ",NA,"23","166286940193304576",NA,"Sun","Feb","05","22","27","50","+0000","2012"
"10","I  can't breathe...@littlecbeadles do you wanna give me CPR or?","en","589","320","777","3875","Central Time (US & Canada)","399642072","BelieberBeadlesWorld(;",NA,"0","166416586125750272",NA,"Mon","Feb","06","07","03","00","+0000","2012"
"11","New Post: BEST SUPER BOWL COMMERCIALS - What was your favorite Super Bowl commercial?  Click here to see them all...... http://t.co/ejOecbbJ","en","39672","45","359","53169","Central Time (US & Canada)","158102435","Houston, TX",NA,"0","166546450161995778",NA,"Mon","Feb","06","15","39","02","+0000","2012"
"12","@Gabriellecb_ awns :( mais eai amor tudo bem?","en","205","2","369","3634","Pacific Time (US & Canada)","126784681","",NA,"0","166666591814172673",NA,"Mon","Feb","06","23","36","26","+0000","2012"
