;Tweets;Weekday;Month;DayOfMonth;Hour;Min;Sec;Year;sentiment
1;wkwkaa tmen gue bnyk dong ton:D RT @tonintan: Bukan lu doang ko. Haha RT ajijahijah yaallah tugas bahasa (cont) http://t.co/CsVmpKCy;Sun;Jan;1;7;0;28;2012;0.4588
2;wkwkaa tmen gue bnyk dong ton:D RT @tonintan: Bukan lu doang ko. Haha RT ajijahijah yaallah tugas bahasa (cont) http://t.co/CsVmpKCy;Sun;Jan;1;7;0;28;2012;0.4588
3;Adbnya sm bolnya haha,hmm ngapain nangis kurang krjaanRT @tyasanggrainioo: Dwicel hahahaha bodoh-_- hmm (cont) http://t.co/GR13BjgQ;Sun;Jan;1;7;1;29;2012;0.0
4;gayamuk RT @SantikaPrathita: debyhaphap bkn cma ferrari aj. mrcedes, porsche, bmw, jaguar, bnyak nih bosen gua :p;Sun;Jan;1;7;1;48;2012;0.25
5;banyak dari mane RT @Ekha_MT: Hmm bkan nye duit lu bnyak ye..haha :D RT @TrianaaaSR: maunya sih gitu tapi ga punya duit;Sun;Jan;1;7;6;59;2012;0.6166
6;No sir! Lol RT @CitizenOjo: RT @SUGARTHEGIRL: @CitizenOjo @CherisHodges @Crys2101 hahaha How you think you got here?!&lt;-by bus..;Sun;Jan;1;7;7;14;2012;0.6988
7;TIDAK!! RT @YaaAtauTidak: #YAAatauTIDAK kamu tahun baru lagi bnyak duit ?;Sun;Jan;1;7;12;46;2012;0.0
8;RT @TeladanRasul: Dan bagi orang yang puasa ada dua kebahagiaan yaitu ketika berbuka dan bertemu Rabbnya(HR Muslim;Sun;Jan;1;7;15;22;2012;0.0
9;Special buat kak @gembokkk @boiypr makasih bnyk bgt. pdahal uda wktu k sana,msh diluangin waktunya. Maap bgt dn makasih bnyak.. Jadi sepi.:(;Sun;Jan;1;7;20;33;2012;0.4019
10;siapa itu radhita? (  <U+02D8><U+0361> -<U+02D8><U+0361>) cewek kalo knp2 pasti jawabnya gapapah yekan @fyrasaf RT @bensindepil: Radhita?kenapa emg?wkk RT dithaoktaria:;Sun;Jan;1;7;21;2;2012;0.0
11;@shanaMASKARA bnyak yg ngebully kaka..gr2 cover lagu 2ne1..tp buat ak kereennn kaka...sempurna mank belum..tp ga ngecewain performnya..hihi;Sun;Jan;1;7;21;57;2012;0.0
